"PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25"
-745458.985623625,-435239.499740307,-239933.345956792,-43614.990856459,-193632.876951086,-51536.0515162039,-329818.65287732,376814.622382502,21.517010731819,534635.227247001,-174426.694886393,340126.764760577,-75158.1699600926,20361.758414345,-274252.027016745,38796.5563682114,28513.6013723901,104423.358430324,106127.405130427,-116714.44248896,50294.8630077456,-174245.938726622,233794.62461934,-87173.3925691599,-2694.32417154558
-1159649.79705615,-669370.892142099,-313478.613312589,-54704.7264994397,-226767.483423151,-61187.7411641958,-395712.057105859,449685.408627758,-3791.23794294099,599129.276615687,-268016.561634906,426670.598458649,-70403.0256492201,47461.585208636,-370015.271838344,54247.9669213837,38137.037146518,88155.935966585,118020.479372943,-58369.4519252768,46568.7140939275,-264588.32211494,179807.206341284,-86013.2821109951,9962.36659983138
-1008970.13603172,-582546.675457569,-225810.831256092,-41633.1229942687,-144915.9299663,-39696.0069320675,-289737.278791354,339883.219142427,40969.5086763544,406507.188324555,-216780.97138808,299417.931699194,-21679.4248498641,61662.9752107872,-257342.894262338,43776.7145520388,45343.1628352269,53089.0897829783,61425.2844623243,-51008.1587108562,66556.9994510711,-35267.5515535593,167317.639747682,-54446.3550569518,30970.7072785597
-2016208.30552595,-1135504.43551181,-242911.646066743,-22485.6527403529,98671.6957306576,4777.97676109413,-108446.298987828,167192.145834562,52681.7855494439,97984.5639297754,-51087.4459893789,62582.8733472066,-303759.091088455,-208321.003060682,-253911.002632013,-201208.625965072,64438.4938638915,-10487.7321841055,20054.1152818796,221707.877926939,88265.6632315277,233447.938803567,-14002.7859748081,1181.18161630569,21636.7338072268
-821550.272124343,-470201.835295564,-163017.53961088,-36048.8328186837,-107125.257832881,-47837.8313923512,-279570.54759243,291481.530227633,-1267.38547151879,273893.267112934,-251076.978082732,220629.202994031,-50940.1556658094,6853.53456328187,-214050.53423704,-79568.537156917,40946.1544606886,42036.5141299831,55300.8155714826,-13405.7194305475,56840.0883933407,-773.462110639248,33769.3702402889,27301.1538864104,19815.1789055416
-2595451.00155899,-1438614.04575886,-309476.041063103,-42913.8909108764,155855.997273356,9558.86253239612,-57033.8701366523,123536.104454179,-37363.232607838,-19906.6697521933,-268566.380281362,159757.054614242,-86493.8683170631,-20625.0870975122,-294608.589007445,-531474.651078437,198294.229056603,-179769.552364986,-99625.0367384363,119972.272931442,40187.3182652612,138204.492156323,327355.876095563,20600.3144246742,-67047.1718569577
-709027.552426336,-407284.997617525,-135213.857775245,-22778.3368303013,-61977.2100599947,-55442.1547256719,-203282.364471924,137657.498279124,1651.44781882496,220789.802024082,-143493.281473503,147014.410890749,-43455.1300964605,-48268.3586004128,-123918.376675347,-12900.4233516832,7689.23896765428,79259.5238577666,68434.5529584286,-33342.4560372965,47759.3941943047,-30638.3834289005,91984.9818030998,-32469.0623708898,24742.3306990138
-1533060.73560372,-862960.799588071,-243907.107918378,-35978.2967385929,-14203.1852274729,-21582.1521163799,-187945.879017949,229745.689685908,27201.6514023375,257593.699891395,-182835.04974918,143984.007443144,-200275.239775301,-107241.925111705,-260318.127537026,-161233.430691788,81787.3136059359,-40042.9951978242,11972.9875007031,50618.601649916,31221.8513064814,-46040.6292122545,192243.206952312,-22558.5347263264,-12691.1333107678
-704246.124307537,-401716.657557024,-156080.263560235,-30307.1601687987,-91911.7940161284,-27832.5955779708,-201133.131502046,239306.292032131,-119.890622240559,276403.952453954,-174609.267021816,176241.287436708,-35127.6782996459,21302.1935573326,-166568.278552286,-85334.0017732526,29634.5464870787,63905.4725550488,48607.1586231306,-23189.8000058274,36272.9786398514,-53357.0519927237,126515.57403605,-16085.3069029316,3591.51432040313
-888981.174554435,-506317.171311238,-171627.491220999,-28404.3042645642,-59807.8025724899,-24520.706691035,-193073.610724677,228626.155563186,24277.0857296321,245993.551894171,-136461.225654035,169681.878213428,-128875.378596006,-51790.5282253328,-205575.014020948,-41751.4381354528,49802.9365566811,-10184.9240353622,31283.0857073763,-7093.84119927913,32761.5176759662,3891.45428498764,93191.3940160646,-29766.452962583,9001.09860421376
